39850 -2231 0 0
OK
0 0 0 0
OK
DC_TIMING,run_id=1,n=80,min_ms=6.351,max_ms=6.356,mean_ms=6.353,ina1_fail=0,ina2_fail=0,imu_fail=0
#config,Kp=70,Ki=0,Kd=110,Ko=50,ffScalePct=100,loopHz=20,Ldb_f=157,Lkv_f=178,Ldb_r=142,Lkv_r=190,Rdb_f=146,Rkv_f=155,Rdb_r=100,Rkv_r=201
#run_id,surface,pattern,t_ms,tgtL,tgtR,pwmL,pwmR,encL,encR,velL,velR,curL,curR,curRawL,curRawR,bus_mV,ax,ay,az,gx,gy,gz
2,3,1,3150,0,0,-105,-133,2558,2532,0,0,146,89,1459,893,11700,386,92,16706,-598,-31,112
2,3,1,3200,0,0,-105,-133,2558,2532,0,0,144,89,1435,888,11700,352,26,16800,-598,-22,108
2,3,1,3250,0,0,-105,-133,2558,2532,0,0,145,85,1443,845,11704,408,34,16764,-593,-31,115
2,3,1,3300,0,0,-105,-133,2558,2532,0,0,143,80,1423,803,11704,450,126,16742,-592,-43,104
2,3,1,3350,0,0,-105,-133,2558,2532,0,0,144,77,1437,768,11696,376,82,16866,-614,-31,106
2,3,1,3400,0,0,-105,-133,2558,2532,0,0,138,76,1372,759,11700,322,8,16764,-598,-32,111
2,3,1,3450,0,0,-105,-133,2558,2532,0,0,144,94,1435,934,11700,402,166,16720,-600,-42,112
2,3,1,3500,0,0,-105,-133,2558,2532,0,0,146,89,1459,890,11704,364,2,16798,-613,-29,128
2,3,1,3550,0,0,-105,-133,2558,2532,0,0,144,89,1435,890,11704,376,98,16788,-600,-30,105
2,3,1,3600,0,0,-105,-133,2558,2532,0,0,145,89,1442,891,11696,404,100,16738,-595,-33,109
2,3,1,3650,0,0,-105,-133,2558,2532,0,0,141,89,1406,889,11700,344,52,16756,-590,-32,130
2,3,1,3700,0,0,-105,-133,2558,2532,0,0,144,89,1434,890,11700,438,76,16764,-608,-33,97
2,3,1,3750,0,0,-105,-133,2558,2532,0,0,138,89,1371,888,11700,362,90,16744,-606,-33,110
2,3,1,3800,0,0,-105,-133,2558,2532,0,0,144,89,1436,889,11700,352,62,16806,-607,-21,101
2,3,1,3850,0,0,-105,-133,2558,2532,0,0,147,89,1465,890,11704,334,98,16810,-593,-37,118
2,3,1,3900,0,0,-105,-133,2558,2532,0,0,144,89,1439,887,11700,370,46,16806,-599,-36,101
2,3,1,3950,0,0,-105,-133,2558,2532,0,0,145,89,1441,888,11700,382,62,16750,-601,-46,113
OK
DC_TIMING,run_id=3,n=80,min_ms=6.352,max_ms=6.356,mean_ms=6.353,ina1_fail=0,ina2_fail=0,imu_fail=0
#config,Kp=70,Ki=0,Kd=110,Ko=50,ffScalePct=100,loopHz=20,Ldb_f=157,Lkv_f=178,Ldb_r=142,Lkv_r=190,Rdb_f=146,Rkv_f=155,Rdb_r=100,Rkv_r=201
#run_id,surface,pattern,t_ms,tgtL,tgtR,pwmL,pwmR,encL,encR,velL,velR,curL,curR,curRawL,curRawR,bus_mV,ax,ay,az,gx,gy,gz
3,3,1,0,30,30,252,234,2559,2534,0,0,462,498,4618,4981,11792,240,62,16744,-594,-36,130
3,3,1,50,30,30,283,272,2562,2535,3,1,573,628,5721,6278,11436,576,-1040,17170,-585,23,-133
3,3,1,100,30,30,320,305,2565,2538,3,3,812,827,8119,8267,11312,1200,1064,17458,-690,170,273
3,3,1,150,30,30,347,332,2571,2544,6,6,777,1411,7761,14109,11164,1910,164,17294,-508,-33,70
3,3,1,200,30,30,359,351,2583,2554,12,10,1202,1790,12017,17903,10916,1836,-334,17458,-694,192,-822
3,3,1,250,30,30,362,361,2601,2569,18,15,1658,1637,16576,16365,10684,3210,-146,15260,-496,-68,-1173
3,3,1,300,30,30,354,361,2626,2590,25,21,1594,1050,15936,10497,10640,4148,-268,13476,-798,-210,-735
3,3,1,350,30,30,351,356,2654,2616,28,26,1250,1012,12493,10122,10900,2774,-194,16592,-589,-4,-110
3,3,1,400,30,30,343,344,2685,2647,31,31,957,958,9570,9580,11000,2802,806,15544,-511,-205,-13
3,3,1,450,30,30,328,332,2720,2681,35,34,972,743,9718,7431,11096,2240,390,14142,-411,-130,20
3,3,1,500,30,30,318,320,2756,2717,36,36,853,766,8523,7659,11132,1020,-78,19128,-338,-1333,44
3,3,1,550,30,30,299,301,2795,2756,39,39,745,686,7441,6857,11204,1400,1074,18216,-787,116,72
3,3,1,600,30,30,283,285,2835,2796,40,40,592,579,5917,5791,11252,1106,-1054,16844,-418,21,166
3,3,1,650,30,30,266,264,2876,2838,41,42,626,534,6256,5343,11312,1502,-852,17394,-1358,254,140
3,3,1,700,30,30,247,244,2918,2881,42,43,440,461,4391,4610,11376,268,-1612,18080,311,-154,274
3,3,1,750,30,30,227,226,2961,2924,43,43,443,417,4428,4166,11436,-308,-1314,18416,-433,-101,241
3,3,1,800,30,30,206,201,3005,2969,44,45,417,340,4165,3400,11488,772,430,14936,-149,-302,423
3,3,1,850,30,30,194,184,3047,3013,42,44,262,295,2613,2947,11548,478,1790,15988,-524,-141,408
3,3,1,900,30,30,178,165,3089,3057,42,44,217,250,2161,2496,11564,1022,-228,12278,-1140,-467,651
3,3,1,950,30,30,165,149,3130,3100,41,43,208,243,2076,2429,11604,576,190,17670,192,-1123,1098
3,3,1,1000,30,30,154,128,3170,3144,40,44,171,212,1706,2116,11612,-244,-340,19520,-1660,468,1048
3,3,1,1050,30,30,140,112,3210,3187,40,43,124,155,1239,1550,11660,-656,2934,21718,403,-157,1121
3,3,1,1100,30,30,130,101,3249,3228,39,41,92,138,916,1383,11684,-1228,-2434,18500,-471,92,978
3,3,1,1150,30,30,121,86,3287,3269,38,41,92,132,911,1316,11704,178,-1378,15416,-571,-59,1006
3,3,1,1200,30,30,114,78,3324,3308,37,39,70,114,693,1138,11716,456,1164,14838,-741,-280,905
3,3,1,1250,30,30,112,66,3359,3347,35,39,43,113,430,1125,11728,16,2364,13836,-161,-232,807
3,3,1,1300,30,30,105,61,3394,3384,35,37,46,97,451,967,11736,-152,848,15304,-938,-9,675
3,3,1,1350,30,30,102,55,3428,3420,34,36,40,93,392,925,11740,106,2284,17054,-1045,357,669
3,3,1,1400,30,30,103,54,3460,3454,32,34,37,91,363,907,11748,-480,518,16322,-980,-43,592
3,3,1,1450,30,30,103,52,3491,3487,31,33,34,95,337,947,11748,-336,-1208,18718,-1169,83,437
3,3,1,1500,30,30,102,52,3522,3519,31,32,35,97,342,966,11748,-744,1092,15944,-558,129,430
3,3,1,1550,30,30,107,56,3551,3549,29,30,31,112,301,1116,11748,-56,-68,16396,-656,-313,384
3,3,1,1600,30,30,112,63,3579,3577,28,28,48,126,472,1255,11740,-702,-156,16778,-118,-55,133
3,3,1,1650,30,30,118,65,3606,3605,27,28,52,137,513,1372,11732,-408,-678,18118,-542,-54,45
3,3,1,1700,30,30,125,75,3632,3631,26,26,58,152,574,1515,11732,-1330,-318,20224,-719,262,28
3,3,1,1750,30,30,134,84,3657,3656,25,25,78,174,778,1735,11724,-1306,608,18684,-965,90,10
3,3,1,1800,30,30,144,98,3681,3679,24,23,87,175,862,1746,11708,-680,-392,17444,-1106,287,-181
3,3,1,1850,30,30,152,111,3705,3701,24,22,113,218,1129,2174,11696,178,-58,16934,-338,-151,-456
3,3,1,1900,30,30,160,122,3729,3723,24,22,150,210,1492,2102,11680,-282,474,16660,-810,102,-485
3,3,1,1950,30,30,172,136,3752,3744,23,21,162,274,1618,2742,11660,-990,-2204,17746,-1104,-156,-971
3,3,1,2000,0,0,-73,-81,3776,3764,24,20,75,42,748,415,11660,1850,-712,13970,-351,-203,-989
3,3,1,2050,0,0,-88,-94,3795,3780,19,16,72,65,712,648,11752,-360,-2490,16610,-778,1281,-713
3,3,1,2100,0,0,-103,-109,3811,3794,16,14,93,84,928,840,11736,-1026,600,15330,-350,1024,-391
3,3,1,2150,0,0,-114,-121,3824,3806,13,12,86,95,854,952,11724,-1380,-322,16844,-633,1588,-8
3,3,1,2200,0,0,-125,-130,3835,3816,11,10,155,128,1550,1281,11696,-618,250,17086,-391,-776,119
3,3,1,2250,0,0,-129,-136,3843,3824,8,8,150,137,1495,1367,11688,-1728,334,16544,-695,-116,303
3,3,1,2300,0,0,-123,-140,3846,3830,3,6,184,125,1834,1252,11668,-2066,76,16914,-536,463,946
3,3,1,2350,0,0,-117,-134,3846,3832,0,2,164,110,1640,1098,11672,-1674,-1148,17758,-620,-605,852
3,3,1,2400,0,0,-117,-134,3846,3833,0,1,168,106,1679,1063,11676,-558,22,17414,-550,-1099,-6
3,3,1,2450,0,0,-117,-132,3846,3833,0,0,163,106,1628,1057,11680,-328,256,17082,-552,-2152,4
3,3,1,2500,0,0,-117,-129,3846,3832,0,-1,160,96,1593,955,11680,846,2784,15886,-423,240,13
3,3,1,2550,0,0,-110,-124,3844,3830,-2,-2,156,114,1555,1139,11680,1072,-1056,16722,-530,-38,-14
3,3,1,2600,0,0,-110,-118,3843,3827,-1,-3,135,102,1341,1020,11696,226,-946,16448,-254,-234,-863
3,3,1,2650,0,0,-112,-121,3843,3826,0,-1,123,104,1228,1042,11708,1014,292,17026,-790,102,-235
3,3,1,2700,0,0,-112,-116,3843,3824,0,-2,144,105,1438,1052,11700,660,-6,17124,-547,-66,-98
3,3,1,2750,0,0,-112,-114,3843,3822,0,-2,128,105,1279,1052,11704,1330,944,16958,-727,-45,-464
3,3,1,2800,0,0,-112,-114,3843,3821,0,-1,116,105,1160,1049,11708,878,168,16306,-579,-57,-321
3,3,1,2850,0,0,-112,-116,3843,3821,0,0,132,105,1312,1050,11704,580,346,16874,-612,-29,76
3,3,1,2900,0,0,-112,-116,3843,3821,0,0,127,105,1269,1045,11704,452,72,16762,-611,-55,286
3,3,1,2950,0,0,-112,-116,3843,3821,0,0,130,103,1300,1033,11704,228,-56,16688,-588,-74,-22
